config,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,n_alignment_skipped,n_entry_aligned,n_entry_opposed,n_entry_unknown,n_structure_invalidations,error
FVG_INV_STRUCT_1800,2025-03-31,5,-2.69399999999996,-0.538799999999992,16,5,8,2,4,5,16,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2025-04-10,9,49.28200000000925,5.475777777778806,25,9,6,10,6,9,25,9,0,0,9,0,0,
FVG_INV_STRUCT_1800,2025-05-09,7,-3.209999999999127,-0.45857142857130384,23,7,5,11,7,7,23,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2025-05-13,11,41.53999999999359,3.7763636363630537,19,11,2,5,8,11,19,11,0,0,11,0,0,
FVG_INV_STRUCT_1800,2025-05-30,9,38.2660000000069,4.251777777778544,17,9,2,6,6,9,17,9,0,0,9,0,0,
FVG_INV_STRUCT_1800,2025-06-18,9,39.05300000000079,4.33922222222231,18,9,4,4,7,9,18,9,0,0,9,0,0,
FVG_INV_STRUCT_1800,2025-06-30,6,-4.383000000000266,-0.7305000000000442,24,6,6,12,6,6,24,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2025-07-08,7,6.042000000001735,0.863142857143105,17,7,4,5,5,7,17,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2025-07-11,4,-1.6860000000001492,-0.4215000000000373,20,4,7,7,4,4,20,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2025-07-31,6,-2.8409999999998945,-0.47349999999998243,18,6,7,5,6,6,18,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2025-08-11,7,31.12199999999666,4.445999999999523,18,7,5,6,5,7,18,7,0,0,7,0,0,
FVG_INV_STRUCT_1800,2025-09-22,6,-2.9229999999997744,-0.48716666666662906,26,6,7,12,6,6,26,6,0,0,6,0,0,
FVG_INV_STRUCT_1800,2025-10-16,22,109.94099999999344,4.997318181817883,36,22,2,10,17,22,36,22,0,0,22,0,0,
FVG_INV_STRUCT_1800,2025-10-20,11,62.02800000000116,5.638909090909196,28,11,7,10,7,11,28,11,0,0,11,0,0,
FVG_INV_STRUCT_1800,2025-10-28,14,51.84299999999985,3.7030714285714175,26,14,6,5,12,14,26,14,0,0,14,0,0,
FVG_INV_STRUCT_1800,2025-11-06,5,18.030000000000655,3.606000000000131,17,5,6,6,3,5,17,5,0,0,5,0,0,
FVG_INV_STRUCT_1800,2025-11-11,4,3.0099999999983993,0.7524999999995998,24,4,8,11,3,4,24,4,0,0,4,0,0,
FVG_INV_STRUCT_1800,2025-11-13,9,29.162999999996828,3.240333333332981,18,9,3,5,7,9,18,9,0,0,9,0,4,
FVG_INV_STRUCT_1800,2025-12-26,10,-8.620000000003529,-0.8620000000003529,22,10,6,6,10,10,22,10,0,0,10,0,0,
FVG_INV_STRUCT_1800,2026-01-07,5,27.959999999999127,5.5919999999998256,17,5,5,7,4,5,17,5,0,0,5,0,0,
