config,day,n_trades,pnl_total,ev_per_trade,n_fills,n_signals_emitted,n_signals_consumed,n_soft_stops,n_inv_trades_submitted,n_inv_trades_filled,error
INV_5,2024-12-05,54,-0.5286881136163781,-0.009790520622525521,54,21,21,11,2,2,
INV_5,2025-01-29,53,-0.8379381830994439,-0.015810154398102714,53,18,18,35,4,4,
INV_5,2025-02-19,37,0.06275676994118846,0.001696128917329418,37,16,15,15,1,1,
INV_5,2025-02-27,68,-0.6369967324001966,-0.009367599005885244,68,24,24,16,2,2,
INV_5,2025-03-24,47,-0.3762880819275172,-0.008006129402713133,47,19,19,12,1,1,
INV_5,2025-04-09,86,1.783051415655033,0.020733155995988756,86,30,30,24,6,6,
INV_5,2025-04-17,81,-1.9836108680387956,-0.024489023062207353,81,27,26,37,7,7,
INV_5,2025-04-30,61,-7.0647796926549145,-0.11581606053532646,61,21,21,24,5,5,
INV_5,2025-05-14,105,-5.2689184611833,-0.05018017582079333,105,36,36,43,7,7,
INV_5,2025-06-12,51,-0.6450426314090691,-0.01264789473351116,51,20,20,11,2,2,
INV_5,2025-06-13,86,1.569869515666293,0.018254296693794105,86,28,28,41,11,11,
INV_5,2025-06-17,48,-3.613913820400588,-0.07528987125834559,48,16,16,21,3,3,
INV_5,2025-07-07,56,1.6908427779400577,0.030193621034643885,56,23,23,22,3,3,
INV_5,2025-07-23,63,-1.288080729996788,-0.02044572587296489,63,23,23,30,4,4,
INV_5,2025-08-06,50,0.8534435938440764,0.01706887187688153,50,17,17,17,3,3,
INV_5,2025-09-09,61,-3.003650265376109,-0.049240168284854245,61,22,22,30,5,5,
INV_5,2025-12-10,42,0.5464826582128807,0.013011491862211445,42,16,16,18,4,4,
INV_5,2025-12-15,41,0.29207826679733745,0.007123860165788718,41,16,16,9,1,1,
INV_5,2025-12-19,49,-2.2699454877301832,-0.04632541811694252,49,16,16,31,7,7,
INV_5,2025-12-30,65,-3.0625317939490437,-0.04711587375306221,65,22,22,19,3,3,
INV_5,2026-02-12,49,-8.084122436936621,-0.16498209054972696,49,18,18,25,6,6,
INV_5,2026-02-25,61,1.2278195946085664,0.020128190075550268,61,20,20,23,7,7,
INV_5,2026-03-02,57,-0.39555486565404857,-0.0069395590465622554,57,21,21,11,3,3,
INV_5,2026-03-06,81,-1.5920510506427188,-0.019654951242502702,81,27,27,19,5,5,
INV_5,2026-04-15,48,-0.08093295286956473,-0.0016861031847825985,48,19,19,20,5,5,
INV_5,2026-05-06,100,-8.342266917509127,-0.08342266917509127,100,39,39,46,11,11,
INV_5,2026-05-12,98,2.154392011024356,0.021983591949228123,98,37,36,46,13,13,
INV_5,2026-06-05,67,-0.9840077449980528,-0.014686682761164967,67,25,25,26,5,5,
INV_5,2026-06-24,115,-7.942815677226615,-0.06906796241066622,115,40,40,38,6,6,
INV_10,2024-01-23,13,1.5007687321366727,0.1154437486258979,13,7,7,0,0,0,
INV_10,2024-02-07,19,1.0219980517739107,0.0537893711459953,19,8,8,5,1,1,
INV_10,2024-02-08,27,-1.5050281205223353,-0.05574178224156797,27,9,9,7,1,1,
INV_10,2024-02-16,33,0.02312455776639885,0.0007007441747393592,33,12,12,12,2,2,
INV_10,2024-02-23,40,0.9764333151485213,0.024410832878713033,40,17,17,15,1,1,
INV_10,2024-03-08,55,-2.1792918621166186,-0.039623488402120335,55,21,21,25,1,1,
INV_10,2024-03-13,47,1.5343061089389873,0.03264481082848909,47,19,19,18,1,1,
INV_10,2024-04-11,54,-1.7883518181479305,-0.03311762626199871,54,18,18,25,5,5,
INV_10,2024-05-06,46,-2.2372346047278975,-0.048635534885389076,46,16,16,14,2,2,
INV_10,2024-05-07,50,0.31296755126807807,0.006259351025361562,50,16,16,24,6,6,
INV_10,2024-05-14,72,-1.4188633948281981,-0.01970643603928053,72,24,24,25,4,4,
INV_10,2024-05-17,83,-0.1153649503035012,-0.001389939160283147,83,29,29,34,4,4,
INV_10,2024-05-24,30,-0.24900260846591965,-0.008300086948863989,30,13,13,11,2,2,
INV_10,2024-05-31,46,-1.0668228902339556,-0.02319180196160773,46,18,18,8,2,2,
INV_10,2024-06-11,47,-1.3393160426867325,-0.02849608601461133,47,16,16,13,1,1,
INV_10,2024-06-18,48,-3.3427384415569277,-0.06964038419910266,48,15,15,22,3,3,
INV_10,2024-06-24,36,-0.985543931394659,-0.027376220316518304,36,13,13,8,1,1,
INV_10,2024-06-25,52,-1.054137271623707,-0.02027187060814821,52,19,19,14,0,0,
INV_10,2024-06-26,53,-0.17305429354852694,-0.0032651753499722065,53,20,20,10,1,1,
INV_10,2024-07-01,41,-0.15419292516889982,-0.0037608030528999956,41,15,15,7,0,0,
INV_10,2024-07-17,49,-1.183507572684903,-0.024153215769079653,49,17,17,27,6,6,
INV_10,2024-07-18,44,-1.4059669631192264,-0.03195379461634606,44,17,17,12,0,0,
INV_10,2024-07-31,73,-2.0113141793560017,-0.027552249032273997,73,26,26,16,2,2,
INV_10,2024-08-13,35,-1.2143275561664573,-0.03469507303332735,35,12,12,6,0,0,
INV_10,2024-08-19,35,-0.249773795410268,-0.0071363941545790855,35,14,14,13,1,1,
INV_10,2024-09-05,44,0.17779421137265675,0.004040777531196744,44,16,16,20,1,1,
INV_10,2024-09-12,87,-3.816020378512349,-0.04386230320129137,87,30,30,38,7,7,
INV_10,2024-10-18,73,-2.7152833070082734,-0.03719566173983936,73,24,24,19,5,5,
INV_10,2024-10-23,77,3.505366065887756,0.04552423462191891,77,30,30,23,5,5,
INV_10,2024-11-04,27,0.007372252868359852,0.0002730464025318464,27,10,10,9,1,1,
INV_10,2024-12-05,54,-0.5286881136163781,-0.009790520622525521,54,21,21,11,2,2,
INV_10,2025-01-29,53,-0.8379381830994439,-0.015810154398102714,53,18,18,35,4,4,
INV_10,2025-02-19,37,0.06275676994118846,0.001696128917329418,37,16,15,15,1,1,
INV_10,2025-02-27,66,-0.34107836505321143,-0.0051678540159577485,66,23,23,16,2,2,
INV_10,2025-03-24,47,-0.3762880819275172,-0.008006129402713133,47,19,19,12,1,1,
INV_10,2025-04-09,70,-0.505936552826673,-0.007227665040381043,70,25,25,18,4,4,
INV_10,2025-04-17,75,-1.326964688510998,-0.017692862513479974,75,24,24,34,7,7,
INV_10,2025-04-30,58,-6.725998888504364,-0.11596549807766145,58,20,20,24,5,5,
INV_10,2025-05-14,98,-4.326649455335731,-0.0441494842381197,98,34,34,39,6,6,
INV_10,2025-06-12,48,-0.5450426314091601,-0.011355054821024169,48,19,19,11,2,2,
INV_10,2025-06-13,77,0.9966063577711186,0.01294293971131323,77,25,25,34,9,9,
INV_10,2025-06-17,43,-3.6229781478859877,-0.08425530576479041,43,14,14,21,3,3,
INV_10,2025-07-07,50,1.9172316668288354,0.03834463333657671,50,21,21,19,3,3,
INV_10,2025-07-23,56,-0.7384140633297042,-0.01318596541660186,56,21,21,23,3,3,
INV_10,2025-08-06,43,0.4880775668360304,0.011350641089210009,43,15,15,14,2,2,
INV_10,2025-09-09,53,-2.7339835987102865,-0.051584596202080876,53,20,20,23,3,3,
INV_10,2025-12-10,31,-0.4106815048947586,-0.013247790480476083,31,12,12,14,2,2,
INV_10,2025-12-15,32,0.7910072264254874,0.02471897582579648,32,13,13,9,1,1,
INV_10,2025-12-19,43,-2.1310457055942607,-0.04955920245568048,43,14,14,28,7,7,
INV_10,2025-12-30,65,-3.0625317939490437,-0.04711587375306221,65,22,22,19,3,3,
INV_10,2026-02-12,46,-7.833274979309257,-0.170288586506723,46,17,17,25,6,6,
INV_10,2026-02-25,54,-0.7573515765625417,-0.014025029195602624,54,18,18,21,6,6,
INV_10,2026-03-02,51,-0.3582097318015561,-0.0070237202314030606,51,18,18,11,3,3,
INV_10,2026-03-06,77,-3.3783843839749657,-0.04387512186980475,77,26,26,16,4,4,
INV_10,2026-04-15,44,-0.6979329528688444,-0.01586211256520101,44,18,18,17,4,4,
INV_10,2026-05-06,94,-7.065224574624456,-0.07516196355983464,94,36,36,42,10,10,
INV_10,2026-05-12,98,2.154392011024356,0.021983591949228123,98,37,36,46,13,13,
INV_10,2026-06-05,60,-0.7794739373524258,-0.012991232289207096,60,22,22,23,5,5,
INV_10,2026-06-24,103,-7.309575870192779,-0.07096675602128912,103,36,36,32,6,6,
