config,tp_mult,day,n_trades,pnl_total,ev_per_trade,n_sniper_submitted,n_sniper_triggered,n_sniper_cancelled,n_sniper_expired,n_soft_stops,n_inversions,n_signals_emitted,n_fills,error
SNIPER_TP1,1.0,2024-11-13,6,-2.5199999999990723,-0.4199999999998454,19,6,4,8,1,1,19,6,
SNIPER_TP1,1.0,2024-11-28,7,1.2909999999997126,0.18442857142853036,29,7,15,6,2,3,29,7,
SNIPER_TP1,1.0,2024-12-02,4,0.7999999999997272,0.1999999999999318,26,4,13,9,1,1,26,4,
SNIPER_TP1,1.0,2025-01-03,5,0.42700000000104404,0.08540000000020881,22,5,10,7,2,4,22,5,
SNIPER_TP1,1.0,2025-01-08,5,-1.2699999999999818,-0.25399999999999634,17,5,3,7,0,2,17,5,
SNIPER_TP1,1.0,2025-01-15,10,0.3654076557692558,0.03654076557692558,20,7,3,10,1,3,21,10,
SNIPER_TP1,1.0,2025-01-22,5,-0.8940000000002328,-0.17880000000004656,16,5,6,5,1,3,16,5,
SNIPER_TP1,1.0,2025-01-29,4,0.849999999999909,0.21249999999997726,18,4,10,4,0,0,18,4,
SNIPER_TP1,1.0,2025-01-31,4,0.7570000000000618,0.18925000000001546,22,4,11,5,1,2,22,4,
SNIPER_TP1,1.0,2025-02-21,2,-0.8930000000004839,-0.4465000000002419,16,2,6,7,1,1,16,2,
SNIPER_TP1,1.0,2025-03-11,5,-0.4030000000007021,-0.08060000000014042,20,5,6,9,1,1,20,5,
SNIPER_TP1,1.0,2025-03-19,5,-1.3800000000001091,-0.27600000000002184,20,5,9,4,0,0,20,5,
SNIPER_TP1,1.0,2025-03-26,1,-0.3769999999999527,-0.3769999999999527,21,1,10,9,0,0,21,1,
SNIPER_TP1,1.0,2025-03-31,7,2.4929999999994834,0.3561428571427833,25,7,10,7,2,4,25,7,
SNIPER_TP1,1.0,2025-04-10,14,0.675999999999931,0.04828571428570936,32,14,7,11,2,4,32,14,
SNIPER_TP1,1.0,2025-05-09,9,0.169999999999618,0.018888888888846447,28,9,7,12,1,3,28,9,
SNIPER_TP1,1.0,2025-05-13,13,-1.470000000001164,-0.11307692307701261,21,13,2,4,4,7,21,13,
SNIPER_TP1,1.0,2025-05-30,11,0.23699999999962523,0.021545454545420475,24,11,4,9,2,6,24,11,
